Datum melding,Locatie aanval,Provincie,Prooidier,Dood,Gewond,Vermist,Geeuthanaseerd,Totaal aantal dode slachtoffers,Diersoort,Individu,Voldoet aan adviesnorm,Eventuele gebreken, Bedrag uitbetaling 
25-04-24,Oosterstreek,Fryslân,Scha(a)p(en),3,,3,,3,wolf,gemixt profiel,Nee,, € -   
25-04-24,Lunteren,Gelderland,Scha(a)p(en),3,1,3,,3,wolf,GW2435m,Nee,, € -   
25-04-24,Hooghalen,Drenthe,Scha(a)p(en),1,,,,1,wolf,onbekend,"Ja, maar",op enkele plaatsen voldeed de draadafstand niet, € -   
25-04-24,Boijl,Fryslân,Pony('s),1,,,,1,wolf,GW2397m,Nee,, € -   
24-04-24,Otterlo,Gelderland,Rund(eren),1,,,,1,wolf,GW3695m; gemixt profiel,Nee,, € -   
23-04-24,Kallenkote,Overijssel,Scha(a)p(en),2,,1,1,3,wolf,GW4009m,Nee,, € -   
22-04-24,Voorthuizen,Gelderland,Scha(a)p(en),2,2,,,2,wolf,GW3425m; GW3816f,Nee,, € -   
21-04-24,Vledder,Drenthe,Scha(a)p(en),3,,,,3,wolf,GW3882m,Ja,, € -   
21-04-24,Kootwijkerbroek,Gelderland,Scha(a)p(en),8,,,,8,wolf,GW3238m,Nee,, € -   
20-04-24,Kootwijkerbroek,Gelderland,Scha(a)p(en),7,,,1,8,wolf,GW3238m,Nee,, € -   
19-04-24,Vledder,Drenthe,Scha(a)p(en),1,2,,,1,wolf,GW3690m,Nee,, € -   
18-04-24,Oud Ootmarsum,Overijssel,Scha(a)p(en),8,,,,8,wolf,GW4242m,Nee,, € -   
17-04-24,Achtmaal,Noord-Brabant,Geit(en),1,,,,1,wolf,onbekend,Nee,, € -   
17-04-24,Harskamp,Gelderland,Scha(a)p(en),22,6,,,22,wolf,GW2540f; GW3238m,Nee,, € -   
17-04-24,Vledder,Drenthe,Scha(a)p(en),4,,,,4,wolf,GW3882m,Nee,, € -   
16-04-24,Geesbrug,Drenthe,Scha(a)p(en),3,,,2,5,wolf,onbekend,Nee,, € -   
15-04-24,Achtmaal,Noord-Brabant,Scha(a)p(en),2,1,,,2,wolf,GW3449f,Nee,, € -   
13-04-24,Wekerom,Gelderland,Pony('s),1,,,,1,wolf,GW2435m,Nee,, € -   
12-04-24,Bovensmilde,Drenthe,Scha(a)p(en),1,1,,,1,wolf,GW3813m; gemixt profiel,Nee,, € -   
