Datum melding,Locatie aanval,Provincie,Prooidier,Dood,Gewond,Vermist,Geeuthanaseerd,Totaal aantal dode slachtoffers,Diersoort,Individu,Voldoet aan adviesnorm,Eventuele gebreken, Bedrag uitbetaling ,latitude,longitude,year_month
2024-05-04,Ter Idzard,Fryslân,Scha(a)p(en),2.0,,,,2,wolf,GW4009m,Nee,, € -   ,52.9038987,6.0341422,2024-05
2024-05-03,Emmen,Drenthe,Scha(a)p(en),1.0,,,2.0,3,wolf,GW4075f,Nee,, € -   ,52.788937,6.8939001,2024-05
2024-05-03,Harskamp,Gelderland,Scha(a)p(en); Rund(eren),4.0,4.0,,2.0,6,wolf,GW2540f; GW3238m,Nee,, € -   ,52.1316634,5.75085,2024-05
2024-05-02,Hooghalen,Drenthe,Scha(a)p(en),1.0,,,,1,wolf,GW4075f,"Ja, maar",De draad- en paalafstand klopt niet overal, € -   ,52.9207884,6.5416331,2024-05
2024-05-01,Hooghalen,Drenthe,Scha(a)p(en),1.0,,,,1,wolf,GW4075f,"Ja, maar",De draad- en paalafstand klopt niet overal, € -   ,52.9207884,6.5416331,2024-05
2024-04-29,Beilen,Drenthe,Scha(a)p(en),4.0,,,15.0,19,wolf,GW3882m,,, € -   ,52.8610999,6.5124319,2024-04
2024-04-29,Lunteren,Gelderland,Scha(a)p(en),1.0,,1.0,,1,wolf,GW4242m,Nee,, € -   ,52.0864617,5.6190737,2024-04
2024-04-29,Kootwijkerbroek,Gelderland,Scha(a)p(en),3.0,,,19.0,22,wolf,GW2540f; GW3238m,Nee,, € -   ,52.1513512,5.6631504,2024-04
2024-04-29,Hooghalen,Drenthe,Geit(en),1.0,,,,1,wolf,GW4075f,"Ja, maar",De draad- en paalafstand klopt niet overal, € -   ,52.9207884,6.5416331,2024-04
2024-04-29,Fochteloo,Fryslân,Scha(a)p(en),2.0,,5.0,,2,wolf,GW3689m; GW3690m,Nee,, € -   ,52.993346,6.3346246,2024-04
