Datum waarneming;Leefgebied of gemeente;Provincie;Type waarneming;Classificering,
18-07-24;Utrechtse Heuvelrug;Utrecht;Wolf gezien;C1,
18-07-24;Utrechtse Heuvelrug;Utrecht;Wolf gezien;C1,
18-07-24;Utrechtse Heuvelrug;Utrecht;Wolf gezien;C1,
17-07-24;Leusden;Utrecht;Wolf gezien;C1,
17-07-24;Utrechtse Heuvelrug;Utrecht;Wolf gezien;C1,
17-07-24;Midden-Drenthe;Drenthe;Wolf gezien;C1,
17-07-24;Midden-Drenthe;Drenthe;Wolf gezien;C1,
16-07-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
15-07-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
15-07-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
15-07-24;Heerde;Gelderland;Wolf gezien;C1,
15-07-24;Heerde;Gelderland;Wolf gezien;C1,
15-07-24;Soest;Utrecht;Wolf gezien;C1,
14-07-24;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
14-07-24;Ooststellingwerf;Fryslân;Wolvenkeutel;C2,
14-07-24;Leusden;Utrecht;Wolf gezien;C1,
14-07-24;Leusden;Utrecht;Wolf gezien;C1,
14-07-24;Soest;Utrecht;Wolf gezien;C1,
14-07-24;Midden-Drenthe;Drenthe;Wolf gezien;C1,
13-07-24;Soest;Utrecht;Wolf gezien;C1,
12-07-24;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
12-07-24;Leusden;Utrecht;Wolf gezien;C1,
12-07-24;Leusden;Utrecht;Wolf gezien;C1,
12-07-24;Westerveld;Drenthe;Wolf gezien;C1,
11-07-24;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
11-07-24;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
11-07-24;Heerde;Gelderland;Wolf gezien;C1,
11-07-24;Zeist;Utrecht;Wolf gezien;C1,
11-07-24;Zeist;Utrecht;Wolf gezien;C1,
10-07-24;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
09-07-24;Heerde;Gelderland;Wolf gezien;C1,
09-07-24;Utrechtse Heuvelrug;Utrecht;Wolf gezien;C1,
08-07-24;Heerde;Gelderland;Wolf gezien;C1,
08-07-24;Leusden;Utrecht;Wolf gezien;C1,
08-07-24;Utrechtse Heuvelrug;Utrecht;Wolf gezien;C1,
08-07-24;Midden-Drenthe;Drenthe;Wolf gezien;C1,
07-07-24;Heerde;Gelderland;Wolf gezien;C1,
06-07-24;Leusden;Utrecht;Wolf gezien;C1,
06-07-24;Leusden;Utrecht;Wolf gezien;C1,
06-07-24;Woudenberg;Utrecht;Wolvenkeutel;C2,
06-07-24;Midden-Drenthe;Drenthe;Wolf gezien;C1,
05-07-24;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C2,
05-07-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
05-07-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
05-07-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
05-07-24;Rozendaal;Gelderland;Wolf gezien;C1,
05-07-24;Midden-Drenthe;Drenthe;Wolvenkeutel;C2,
05-07-24;Midden-Drenthe;Drenthe;Wolf gezien;C1,
04-07-24;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
04-07-24;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
04-07-24;Heerde;Gelderland;Wolf gezien;C1,
04-07-24;Rozendaal;Gelderland;Wolf gezien;C1,
04-07-24;Rozendaal;Gelderland;Wolf gezien;C1,
03-07-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
03-07-24;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
03-07-24;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
03-07-24;Leusden;Utrecht;Wolf gezien;C1,
02-07-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
02-07-24;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
02-07-24;Heerde;Gelderland;Wolf gezien;C1,
02-07-24;Leusden;Utrecht;Wolf gezien;C1,
01-07-24;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
01-07-24;Heerde;Gelderland;Wolf gezien;C1,
30-06-24;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C2,
30-06-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
30-06-24;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
30-06-24;Westerveld;Drenthe;Wolvenkeutel;C2,
29-06-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
29-06-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
29-06-24;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C2,
29-06-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
29-06-24;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
28-06-24;Heerde;Gelderland;Wolf gezien;C1,
28-06-24;Utrechtse Heuvelrug;Utrecht;Wolf gezien;C1,
26-06-24;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
26-06-24;Leusden;Utrecht;Wolf gezien;C1,
26-06-24;Leusden;Utrecht;Wolf gezien;C1,
26-06-24;Westerveld;Drenthe;Wolvenkeutel;C2,
25-06-24;Heerde;Gelderland;Wolf gezien;C1,
24-06-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
24-06-24;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
24-06-24;Leusden;Utrecht;Wolf gezien;C1,
23-06-24;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C2,
23-06-24;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C2,
23-06-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
23-06-24;Leusden;Utrecht;Wolf gezien;C1,
22-06-24;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
22-06-24;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
22-06-24;Heerde;Gelderland;Wolf gezien;C1,
22-06-24;Heerde;Gelderland;Wolf gezien;C1,
22-06-24;Heerde;Gelderland;Wolf gezien;C1,
22-06-24;Heerde;Gelderland;Wolf gezien;C1,
22-06-24;Leusden;Utrecht;Wolf gezien;C1,
22-06-24;Leusden;Utrecht;Wolf gezien;C1,
22-06-24;Zeist;Utrecht;Wolf gezien;C1,
21-06-24;Heerde;Gelderland;Wolf gezien;C1,
21-06-24;Leusden;Utrecht;Wolf gezien;C1,
21-06-24;Leusden;Utrecht;Wolf gezien;C1,
21-06-24;Utrechtse Heuvelrug;Utrecht;Wolf gezien;C1,
20-06-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
20-06-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
20-06-24;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
